Location,Number of regular chargers,Speed regular chargers (kW),Number of fast chargers,Speed fast chargers (kW)
3584H,1,11,0,50
3435H,1,11,0,50
3543H,1,11,0,50
3582H,1,11,0,50
3813H,1,11,0,50
3812B,1,11,0,50
3821B,1,11,0,50
3823B,1,11,0,50
3941B,1,11,0,50
3608B,1,11,0,50
3435B,1,11,0,50
4145B,1,11,0,50
3582B,1,11,0,50
3561B,1,11,0,50
3911B,1,11,0,50
3645B,1,11,0,50
3447B,1,11,0,50
3707B,1,11,0,50
3417B,1,11,0,50
3648B,1,11,0,50
3743B,1,11,0,50
3769B,1,11,0,50
3931B,1,11,0,50
3958B,1,11,0,50
3991B,1,11,0,50
4128B,1,11,0,50
