postal code,x,y,inhabitants,inhabitantsIncreasing
1391,126780.741303588,475976.34372212,0.0060068113934700264,0.0060068113934700264
1393,130846.563023506,476086.657164927,0.0011572755895676197,0.007164086983037646
1396,127876.52634688,473287.638839747,0.0010617544297937846,0.00822584141283143
1426,115874.511321623,469566.65862684,0.0006502786646141864,0.008876120077445617
1427,117600.677515141,471804.044868582,0.0007237564798248288,0.009599876557270445
3401,130863.474716544,448443.6638246,0.009026749598627435,0.018626626155897878
3402,130818.142638369,450113.997610779,0.006962022991208379,0.025588649147106256
3403,127489.631096465,449107.369804897,0.001480577976494447,0.027069227123600704
3404,131154.464554377,446927.579082269,0.007380846537909042,0.03445007366150975
3405,126007.221142266,446473.870952461,0.002637853566062067,0.037087927227571815
3411,123903.999056369,442805.574808664,0.005984768048906834,0.04307269527647865
3412,130646.717160471,444424.051378087,0.0008670382194855818,0.04393973349596423
3413,126810.12475289,442667.578220234,0.00020573788258979907,0.04414547137855403
3415,119772.155322029,444329.786871003,0.0009258204716540958,0.045071291850208126
3417,125401.272634608,450652.140059061,0.007303694831937867,0.05237498668214599
3421,118821.525830975,447848.200143332,0.006058245864117477,0.05843323254626347
3425,121163.454791049,450057.336410152,0.0005768008494035438,0.05901003339566701
3431,134185.244434953,449447.359024586,0.005918638015217256,0.06492867141088426
3432,134493.489644244,448108.916014209,0.004739319081086443,0.06966799049197071
3433,135931.463988618,447178.19382802,0.0025423324062882314,0.07221032289825895
3434,134099.701042793,446686.22668327,0.0063925699233259,0.07860289282158485
3435,133445.145866655,448340.633676431,0.004393973349596423,0.08299686617118127
3436,133237.264140994,449485.443201617,0.0046584934843547365,0.087655359655536
3437,133504.382054736,451215.320181353,0.009835005565944502,0.09749036522148051
3438,134759.964533874,451173.765009514,0.007457998243880217,0.10494836346536073
3439,136229.785551129,450073.494652171,0.00098460272382261,0.10593296618918334
3441,120587.836099464,455455.002789385,0.0020390093720953303,0.10797197556127867
3442,120071.771972362,454952.918333679,0.003119133255691775,0.11109110881697044
3443,118023.05062559,456132.49453685,0.005441032216348079,0.11653214103331852
3444,122121.477425657,456937.068443564,0.00020206399182926696,0.1167342050251478
3445,122813.929458055,456540.036737131,0.0033946750627316846,0.12012888008787947
3446,122631.644456892,455189.036970728,0.006759958999379112,0.1268888390872586
3447,120892.1635676,454548.203346322,2.5717235323724884e-05,0.1269145563225823
3448,119299.529734933,454073.058494866,0.006697502856450066,0.13361205917903238
3449,117921.772595396,454777.416951989,0.0004812796896297086,0.1340933388686621
3451,129065.752102632,457399.032085735,0.009232487481217234,0.14332582634987934
3452,128994.794013457,456252.23960047,0.011139236785933407,0.15446506313581274
3453,129462.889829386,454804.64179094,0.006763632890139645,0.16122869602595238
3454,130594.083637114,454362.591784271,0.009474964271412353,0.17070366029736472
3455,127986.362042883,459714.6500386,0.0003343240592084235,0.17103798435657314
3461,122680.58147122,452733.374633553,0.002906047591580912,0.17394403194815405
3464,118840.860188319,451429.740305149,0.00028656347932150587,0.17423059542747557
3467,116659.007248403,448416.996401927,0.0005290402695166262,0.1747596356969922
3471,121429.775768175,459903.816770107,0.00285093923017293,0.17761057492716514
3474,117242.489403708,459402.508973918,0.001689989749844778,0.17930056467700992
3481,125992.429870384,456365.03667981,0.006021506956512155,0.18532207163352207
3511,136411.614510162,455597.227193701,0.006969370772729444,0.1922914424062515
3512,136963.239063897,455861.45219849,0.006230918729862487,0.198522361136114
3513,135909.811271253,456767.195725633,0.00511405593866072,0.2036364170747747
3514,136843.110959369,456909.738964591,0.005547575048403511,0.2091839921231782
3515,136481.655007201,457303.367143643,0.0043572344419911015,0.2135412265651693
3521,135959.015541384,455041.160574551,0.005022208669647417,0.21856343523481672
3522,136312.392508113,453870.243179357,0.006568916679831442,0.22513235191464817
3523,137002.264993588,453722.551816316,0.007560867185175116,0.2326932190998233
3524,137827.509266965,452628.306697849,0.008339732026407927,0.24103295112623122
3525,136577.44664448,452652.224437252,0.004504190072412387,0.24553714119864362
3526,135509.06813947,453015.459641061,0.008901837312769343,0.25443897851141295
3527,134959.73141711,454437.7454718,0.008978989018740518,0.26341796753015345
3528,134064.941079129,453518.650264678,1.4695563042128506e-05,0.2634326630931956
3531,135045.089423869,455842.635768081,0.008391166497055376,0.271823829590251
3532,134761.48932302,456366.855241451,0.005176512081589766,0.27700034167184073
3533,134346.435763979,455395.877293334,0.0068554801591529475,0.28385582183099367
3534,134319.825049645,457073.032551094,0.0009515377069778207,0.2848073595379715
3541,133261.109567305,456096.483423809,0.005793725729359163,0.29060108526733064
3542,132469.76152501,458529.049824783,0.0001249122858580923,0.29072599755318873
3543,130847.235039349,458202.331878177,0.008402188169336973,0.2991281857225257
3544,132020.662937402,455992.8495455,0.016356161665889025,0.31548434738841474
3545,132208.557079214,452970.488034135,0.0008707121102461139,0.3163550594986609
3546,131513.2152823,451042.55359514,0.00015797730270288143,0.3165130368013638
3551,135166.822330084,457039.628940454,0.004989143652802628,0.3215021804541664
3552,135585.771537344,457653.287735952,0.005779030166317035,0.32728121062048343
3553,134438.746088513,457901.900541588,0.005161816518547638,0.33244302713903107
3554,134815.096014196,458420.96484298,0.005679835115782668,0.33812286225481375
3555,133612.991719651,458981.791836825,0.006366852688002175,0.34448971494281594
3561,136990.518940318,458297.0289211,0.00663504671352102,0.35112476165633694
3562,136408.649873489,458693.387747247,0.005198555426152959,0.3563233170824899
3563,135203.109289658,458924.961791281,0.0056614656619800065,0.3619847827444699
3564,135701.166906544,459494.700951302,0.007277977596614142,0.369262760341084
